id,uni,item,response
bb2dc,2t9re,1,3
bb2dc,2t9re,2,4
bb2dc,2t9re,3,2
bb2dc,2t9re,4,5
bb2dc,2t9re,5,4
bb2dc,2t9re,6,1
bb2dc,2t9re,7,2
bb2dc,2t9re,8,4
bb2dc,2t9re,9,2
89cc9,2t9re,1,2
89cc9,2t9re,2,5
89cc9,2t9re,3,3
89cc9,2t9re,4,5
89cc9,2t9re,5,5
89cc9,2t9re,6,3
89cc9,2t9re,7,3
89cc9,2t9re,8,5
89cc9,2t9re,9,5
6db6c,2t9re,1,1
6db6c,2t9re,2,4
6db6c,2t9re,3,2
6db6c,2t9re,4,5
6db6c,2t9re,5,3
6db6c,2t9re,6,1
6db6c,2t9re,7,1
6db6c,2t9re,8,4
6db6c,2t9re,9,1
49dfb,2t9re,1,3
49dfb,2t9re,2,2
49dfb,2t9re,3,3
49dfb,2t9re,4,3
49dfb,2t9re,5,4
49dfb,2t9re,6,2
49dfb,2t9re,7,3
49dfb,2t9re,8,5
49dfb,2t9re,9,3
64be2,2t9re,1,1
64be2,2t9re,2,4
64be2,2t9re,3,2
64be2,2t9re,4,4
64be2,2t9re,5,4
64be2,2t9re,6,2
64be2,2t9re,7,2
64be2,2t9re,8,3
64be2,2t9re,9,2
c8668,2t9re,1,3
c8668,2t9re,2,4
c8668,2t9re,3,3
c8668,2t9re,4,5
c8668,2t9re,5,4
c8668,2t9re,6,2
c8668,2t9re,7,2
c8668,2t9re,8,4
c8668,2t9re,9,3
493b1,2t9re,1,2
493b1,2t9re,2,4
493b1,2t9re,3,2
493b1,2t9re,4,4
493b1,2t9re,5,4
493b1,2t9re,6,4
493b1,2t9re,7,4
493b1,2t9re,8,4
493b1,2t9re,9,3
1b182,2t9re,1,2
1b182,2t9re,2,3
1b182,2t9re,3,2
1b182,2t9re,4,3
1b182,2t9re,5,4
1b182,2t9re,6,2
1b182,2t9re,7,1
1b182,2t9re,8,2
1b182,2t9re,9,2
66382,2t9re,1,1
66382,2t9re,2,4
66382,2t9re,3,1
66382,2t9re,4,3
66382,2t9re,5,4
66382,2t9re,6,1
66382,2t9re,7,1
66382,2t9re,8,2
66382,2t9re,9,1
68666,2t9re,1,3
68666,2t9re,2,5
68666,2t9re,3,5
68666,2t9re,4,5
68666,2t9re,5,5
68666,2t9re,6,5
68666,2t9re,7,4
68666,2t9re,8,5
68666,2t9re,9,3
9458d,2t9re,1,2
9458d,2t9re,2,5
9458d,2t9re,3,4
9458d,2t9re,4,5
9458d,2t9re,5,4
9458d,2t9re,6,3
9458d,2t9re,7,3
9458d,2t9re,8,5
9458d,2t9re,9,2
6ad04,2t9re,1,4
6ad04,2t9re,2,4
6ad04,2t9re,3,2
6ad04,2t9re,4,5
6ad04,2t9re,5,5
6ad04,2t9re,6,3
6ad04,2t9re,7,4
6ad04,2t9re,8,4
6ad04,2t9re,9,2
b7c6d,2t9re,1,2
b7c6d,2t9re,2,4
b7c6d,2t9re,3,4
b7c6d,2t9re,4,5
b7c6d,2t9re,5,3
b7c6d,2t9re,6,3
b7c6d,2t9re,7,2
b7c6d,2t9re,8,2
b7c6d,2t9re,9,1
f091e,2t9re,1,2
f091e,2t9re,2,3
f091e,2t9re,3,3
f091e,2t9re,4,4
f091e,2t9re,5,3
f091e,2t9re,6,4
f091e,2t9re,7,3
f091e,2t9re,8,4
f091e,2t9re,9,2
a2653,2t9re,1,2
a2653,2t9re,2,4
a2653,2t9re,3,4
